suite,case,variant,batch_size,max_length,lora_rank,token_chunk,vocab_chunk,status,failure_type,tpu,chips,xla_train_step_gib_per_chip,runtime_peak_hbm_gb,runtime_hbm_limit_gb,mean_step_time_sec_excl_first,valid_tokens_per_sec_excl_first,wall_time_sec,xla_report
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc512_vc8192,cce,16,2048,16,512,8192,failed,compile_oom,v5litepod-1,1,16.42,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc512_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc512_vc16384,cce,16,2048,16,512,16384,failed,compile_oom,v5litepod-1,1,16.42,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc512_vc16384/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l2048_tc512_vc32768,cce,16,2048,16,512,32768,failed,compile_oom,v5litepod-1,1,16.42,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l2048_tc512_vc32768/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l4096_tc64_vc4096,cce,16,4096,16,64,4096,failed,compile_oom,v5litepod-1,1,33.87,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l4096_tc64_vc4096/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l4096_tc64_vc8192,cce,16,4096,16,64,8192,failed,compile_oom,v5litepod-1,1,33.87,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l4096_tc64_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l4096_tc64_vc16384,cce,16,4096,16,64,16384,failed,compile_oom,v5litepod-1,1,33.87,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l4096_tc64_vc16384/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l4096_tc64_vc32768,cce,16,4096,16,64,32768,failed,compile_oom,v5litepod-1,1,33.87,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l4096_tc64_vc32768/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l4096_tc128_vc4096,cce,16,4096,16,128,4096,failed,compile_oom,v5litepod-1,1,33.87,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l4096_tc128_vc4096/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l4096_tc128_vc8192,cce,16,4096,16,128,8192,failed,compile_oom,v5litepod-1,1,33.87,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l4096_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l4096_tc128_vc16384,cce,16,4096,16,128,16384,failed,compile_oom,v5litepod-1,1,33.87,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l4096_tc128_vc16384/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
