model,suite,mesh,batch_size,max_length,eval_loss_cce,eval_loss_default,final_loss_cce,final_loss_default,mean_step_time_sec_excl_first_cce,mean_step_time_sec_excl_first_default,valid_tokens_per_sec_excl_first_cce,valid_tokens_per_sec_excl_first_default,xla_train_step_gib_per_chip_cce,xla_train_step_gib_per_chip_default,xla_reduction_pct,step_time_multiplier_cce_vs_default,loss_delta_cce_minus_default
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,8,256,,,2.4163658618927,2.4146406650543213,32.44000261800102,31.039786396000636,27.250306062227835,28.47957742756568,0.7223362922668457,1.06,31.855066767278707,1.0451103691287256,0.0017251968383789062
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,8,512,,,2.446861743927002,2.436563014984131,36.06051470099919,34.21288724099941,24.51434782142767,25.838216861763375,1.08,1.91,43.45549738219895,1.0540038450126963,0.010298728942871094
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,8,1024,,,2.42144775390625,2.392610788345337,40.179325569002685,37.649045041000136,22.00136481837772,23.480011220399252,1.78,3.6,50.55555555555556,1.0672070307559476,0.028836965560913086
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,8,2048,,,2.358729362487793,2.3834943771362305,45.554164230001334,42.30187987299905,19.405470716940737,20.89741644234232,3.64,7.4,50.810810810810814,1.0768827382321178,-0.0247650146484375
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,8,4096,,,2.308539390563965,2.3072471618652344,55.36606008799936,43.85346748699885,15.96646029345346,20.15804110044611,9.1,14.45,37.0242214532872,1.2625241117914705,0.0012922286987304688
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,16,256,,,2.35308837890625,2.343257188796997,35.34837486499964,33.68914668800062,50.24276241221247,52.717274689316326,1.04,1.88,44.680851063829785,1.0492511191323823,0.00983119010925293
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,16,512,,,2.356271743774414,2.3501718044281006,39.96964599700004,37.45059447999665,44.43371853063945,47.422478191864435,1.64,3.47,52.73775216138329,1.0672633252417096,0.0060999393463134766
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,16,1024,,,2.3486931324005127,2.3582253456115723,46.40664790500159,42.04325289500048,38.270378925787206,42.242211953376014,3.06,6.86,55.39358600583091,1.1037834779553888,-0.00953221321105957
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,16,2048,,,2.3401942253112793,2.3572306632995605,54.91674035899996,39.890478923000046,32.33986555629467,44.5219021668851,6.82,14.56,53.15934065934066,1.3766879175606006,-0.01703643798828125
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,32,256,,,2.3852555751800537,2.3911890983581543,39.42150049299744,36.92622616399967,90.1031151929631,96.19179561498044,1.56,3.39,53.98230088495575,1.0675745828429788,-0.005933523178100586
