repeat,mesh,mesh_fsdp,mesh_tp,shape,batch_size,max_length,final_loss_cce,final_loss_default,mean_step_time_sec_excl_first_cce,mean_step_time_sec_excl_first_default,valid_tokens_per_sec_excl_first_cce,valid_tokens_per_sec_excl_first_default,xla_train_step_gib_per_chip_cce,xla_train_step_gib_per_chip_default,xla_reduction_pct,step_time_multiplier_cce_vs_default,step_time_overhead_pct
3,fsdp4/tp1,4,1,b16/L512,16,512,0.1232120618224144,0.179832711815834,0.3882416525714234,0.2120923128571316,4595.076257748527,8411.43168258874,3.85,11.29,65.89902568644818,1.8305314668945523,83.05314668945523
1,fsdp4/tp1,4,1,b16/L1024,16,1024,0.1868241131305694,,0.8079700430000197,,2208.0026548706537,,7.49,,,,
2,fsdp4/tp1,4,1,b16/L1024,16,1024,0.2226893454790115,,0.8079029441428247,,2208.1860363719834,,7.49,,,,
3,fsdp4/tp1,4,1,b16/L1024,16,1024,0.2093236744403839,,0.8076372665713863,,2208.9124336393083,,7.49,,,,
1,fsdp4/tp1,4,1,b32/L512,32,512,0.1035282909870147,,0.7864062225714535,,4573.426971128322,,6.29,,,,
2,fsdp4/tp1,4,1,b32/L512,32,512,0.1831694394350052,,0.7865500159999621,,4572.590878405884,,6.29,,,,
3,fsdp4/tp1,4,1,b32/L512,32,512,0.1940948516130447,,0.7865170904285931,,4572.782298489618,,6.29,,,,
1,fsdp4/tp1,4,1,b32/L1024,32,1024,0.1581652611494064,,1.6583294762857577,,2168.7918353998307,,14.12,,,,
2,fsdp4/tp1,4,1,b32/L1024,32,1024,0.244759127497673,,1.6583435415713796,,2168.7734407331923,,14.12,,,,
3,fsdp4/tp1,4,1,b32/L1024,32,1024,0.2171744257211685,,1.657801133714299,,2169.483031124077,,14.12,,,,
