accelerator_type,backend,case_name,cce_loop_count,cce_profiler_experiment_id,chunk_configuration,chunk_loop_count,device_count,dstack_gpu_spec,execution_mode,experiment_id,fsdp_degree,global_batch_size,hardware_role,hardware_target,hidden_size,hostname_manifest,measured_steps,mesh_configuration,operation_family,preset,profiler_path,repeat_index,run_dir,run_id,scenario_group,seed,sequence_length,shape,signature_label,timestamp_manifest,token_chunk,token_loop_count,tp_degree,vocab_chunk,vocab_loop_count,vocab_size,warmup_steps,workload_description,workload_family,workload_runner,xla_dir,observed
A100-80GB,gpu,exp0257_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc128_vc131072_fsdp2_tp2_tc128_vc131072_r0,,-1,128/131072,128,4,A100:4:80GB,eager,257,2,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=2,tp=2",projection_collective_loop,dense-synthetic,,0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0257_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc128_vc131072_fsdp2_tp2_tc128_vc131072_r0,20260616T031040Z,gpu-a100-80gb-4/torch_eager_projection_collective_loop,0,512,b16/L512,b16_L512_fsdp2_tp2_tc128_vc131072,2026-06-16T03:10:40+00:00,128,64,2,131072,2,262144,3,PyTorch eager projection matmul plus NCCL all-reduce.,torch_eager_projection_collective_loop,torch_microbench,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0257_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc128_vc131072_fsdp2_tp2_tc128_vc131072_r0/xla,False
A100-80GB,gpu,exp0258_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc128_vc262144_fsdp2_tp2_tc128_vc262144_r0,,-1,128/262144,64,4,A100:4:80GB,eager,258,2,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=2,tp=2",projection_collective_loop,dense-synthetic,,0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0258_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc128_vc262144_fsdp2_tp2_tc128_vc262144_r0,20260616T031040Z,gpu-a100-80gb-4/torch_eager_projection_collective_loop,0,512,b16/L512,b16_L512_fsdp2_tp2_tc128_vc262144,2026-06-16T03:10:40+00:00,128,64,2,262144,1,262144,3,PyTorch eager projection matmul plus NCCL all-reduce.,torch_eager_projection_collective_loop,torch_microbench,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0258_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc128_vc262144_fsdp2_tp2_tc128_vc262144_r0/xla,False
A100-80GB,gpu,exp0259_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc256_vc4096_fsdp2_tp2_tc256_vc4096_r0,,-1,256/4096,2048,4,A100:4:80GB,eager,259,2,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=2,tp=2",projection_collective_loop,dense-synthetic,,0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0259_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc256_vc4096_fsdp2_tp2_tc256_vc4096_r0,20260616T031040Z,gpu-a100-80gb-4/torch_eager_projection_collective_loop,0,512,b16/L512,b16_L512_fsdp2_tp2_tc256_vc4096,2026-06-16T03:10:40+00:00,256,32,2,4096,64,262144,3,PyTorch eager projection matmul plus NCCL all-reduce.,torch_eager_projection_collective_loop,torch_microbench,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0259_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc256_vc4096_fsdp2_tp2_tc256_vc4096_r0/xla,False
A100-80GB,gpu,exp0260_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc256_vc8192_fsdp2_tp2_tc256_vc8192_r0,,-1,256/8192,1024,4,A100:4:80GB,eager,260,2,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=2,tp=2",projection_collective_loop,dense-synthetic,,0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0260_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc256_vc8192_fsdp2_tp2_tc256_vc8192_r0,20260616T031040Z,gpu-a100-80gb-4/torch_eager_projection_collective_loop,0,512,b16/L512,b16_L512_fsdp2_tp2_tc256_vc8192,2026-06-16T03:10:40+00:00,256,32,2,8192,32,262144,3,PyTorch eager projection matmul plus NCCL all-reduce.,torch_eager_projection_collective_loop,torch_microbench,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0260_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc256_vc8192_fsdp2_tp2_tc256_vc8192_r0/xla,False
A100-80GB,gpu,exp0261_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc256_vc16384_fsdp2_tp2_tc256_vc16384_r0,,-1,256/16384,512,4,A100:4:80GB,eager,261,2,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=2,tp=2",projection_collective_loop,dense-synthetic,,0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0261_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc256_vc16384_fsdp2_tp2_tc256_vc16384_r0,20260616T031040Z,gpu-a100-80gb-4/torch_eager_projection_collective_loop,0,512,b16/L512,b16_L512_fsdp2_tp2_tc256_vc16384,2026-06-16T03:10:40+00:00,256,32,2,16384,16,262144,3,PyTorch eager projection matmul plus NCCL all-reduce.,torch_eager_projection_collective_loop,torch_microbench,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0261_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc256_vc16384_fsdp2_tp2_tc256_vc16384_r0/xla,False
A100-80GB,gpu,exp0262_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc256_vc32768_fsdp2_tp2_tc256_vc32768_r0,,-1,256/32768,256,4,A100:4:80GB,eager,262,2,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=2,tp=2",projection_collective_loop,dense-synthetic,,0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0262_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc256_vc32768_fsdp2_tp2_tc256_vc32768_r0,20260616T031040Z,gpu-a100-80gb-4/torch_eager_projection_collective_loop,0,512,b16/L512,b16_L512_fsdp2_tp2_tc256_vc32768,2026-06-16T03:10:40+00:00,256,32,2,32768,8,262144,3,PyTorch eager projection matmul plus NCCL all-reduce.,torch_eager_projection_collective_loop,torch_microbench,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0262_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc256_vc32768_fsdp2_tp2_tc256_vc32768_r0/xla,False
A100-80GB,gpu,exp0263_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc256_vc65536_fsdp2_tp2_tc256_vc65536_r0,,-1,256/65536,128,4,A100:4:80GB,eager,263,2,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=2,tp=2",projection_collective_loop,dense-synthetic,,0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0263_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc256_vc65536_fsdp2_tp2_tc256_vc65536_r0,20260616T031040Z,gpu-a100-80gb-4/torch_eager_projection_collective_loop,0,512,b16/L512,b16_L512_fsdp2_tp2_tc256_vc65536,2026-06-16T03:10:40+00:00,256,32,2,65536,4,262144,3,PyTorch eager projection matmul plus NCCL all-reduce.,torch_eager_projection_collective_loop,torch_microbench,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0263_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc256_vc65536_fsdp2_tp2_tc256_vc65536_r0/xla,False
A100-80GB,gpu,exp0265_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc256_vc262144_fsdp2_tp2_tc256_vc262144_r0,,-1,256/262144,32,4,A100:4:80GB,eager,265,2,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=2,tp=2",projection_collective_loop,dense-synthetic,,0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0265_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc256_vc262144_fsdp2_tp2_tc256_vc262144_r0,20260616T031040Z,gpu-a100-80gb-4/torch_eager_projection_collective_loop,0,512,b16/L512,b16_L512_fsdp2_tp2_tc256_vc262144,2026-06-16T03:10:40+00:00,256,32,2,262144,1,262144,3,PyTorch eager projection matmul plus NCCL all-reduce.,torch_eager_projection_collective_loop,torch_microbench,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0265_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc256_vc262144_fsdp2_tp2_tc256_vc262144_r0/xla,False
A100-80GB,gpu,exp0266_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc512_vc4096_fsdp2_tp2_tc512_vc4096_r0,,-1,512/4096,1024,4,A100:4:80GB,eager,266,2,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=2,tp=2",projection_collective_loop,dense-synthetic,,0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0266_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc512_vc4096_fsdp2_tp2_tc512_vc4096_r0,20260616T031040Z,gpu-a100-80gb-4/torch_eager_projection_collective_loop,0,512,b16/L512,b16_L512_fsdp2_tp2_tc512_vc4096,2026-06-16T03:10:40+00:00,512,16,2,4096,64,262144,3,PyTorch eager projection matmul plus NCCL all-reduce.,torch_eager_projection_collective_loop,torch_microbench,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0266_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc512_vc4096_fsdp2_tp2_tc512_vc4096_r0/xla,False
A100-80GB,gpu,exp0267_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc512_vc8192_fsdp2_tp2_tc512_vc8192_r0,,-1,512/8192,512,4,A100:4:80GB,eager,267,2,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=2,tp=2",projection_collective_loop,dense-synthetic,,0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0267_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc512_vc8192_fsdp2_tp2_tc512_vc8192_r0,20260616T031040Z,gpu-a100-80gb-4/torch_eager_projection_collective_loop,0,512,b16/L512,b16_L512_fsdp2_tp2_tc512_vc8192,2026-06-16T03:10:40+00:00,512,16,2,8192,32,262144,3,PyTorch eager projection matmul plus NCCL all-reduce.,torch_eager_projection_collective_loop,torch_microbench,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0267_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc512_vc8192_fsdp2_tp2_tc512_vc8192_r0/xla,False
A100-80GB,gpu,exp0268_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc512_vc16384_fsdp2_tp2_tc512_vc16384_r0,,-1,512/16384,256,4,A100:4:80GB,eager,268,2,16,primary_gpu_baseline,gpu-a100-80gb-4,320,Chansungs-MacBook-Pro-2.local,10,"fsdp=2,tp=2",projection_collective_loop,dense-synthetic,,0,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0268_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc512_vc16384_fsdp2_tp2_tc512_vc16384_r0,20260616T031040Z,gpu-a100-80gb-4/torch_eager_projection_collective_loop,0,512,b16/L512,b16_L512_fsdp2_tp2_tc512_vc16384,2026-06-16T03:10:40+00:00,512,16,2,16384,16,262144,3,PyTorch eager projection matmul plus NCCL all-reduce.,torch_eager_projection_collective_loop,torch_microbench,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_dense_a100_torch/runs/exp0268_gpu-a100-80gb-4_torch_eager_projection_collective_loop_b16_L512_fsdp2_tp2_tc512_vc16384_fsdp2_tp2_tc512_vc16384_r0/xla,False
