model_name,mesh_configuration,shape,slow_chunk,fast_chunk,slow_cce_loop_count,fast_cce_loop_count,slow_step_time_sec,fast_step_time_sec,recovery_x,slow_xla_hbm_gib,fast_xla_hbm_gib,hbm_increase_pct,slow_default_ratio,fast_default_ratio
Gemma3 270M,"fsdp=1,tp=4",b16/L512,128/8192,512/65536,128.0,4.0,1.9618444709999039,0.42624113049992046,4.602663447093757,1.64,1.78,8.536585365853666,36.98857743091847,8.036341969403397
Gemma3 270M,"fsdp=1,tp=4",b16/L1024,128/8192,512/65536,256.0,8.0,3.915414743100109,0.8518684922000375,4.59626665260051,3.06,3.2,4.575163398692815,37.306356469549094,8.116664956425371
Gemma3 270M,"fsdp=1,tp=4",b32/L512,128/8192,512/32768,128.0,8.0,3.9187758799000223,0.9412974352000674,4.163164302117862,2.77,2.85,2.8880866425992804,38.93945907971417,9.353332286190362
Gemma3 270M,"fsdp=1,tp=4",b16/L512,128/8192,512/32768,128.0,8.0,1.9618444709999039,0.4731235956000546,4.1465792220988895,1.64,1.71,4.268292682926833,36.98857743091847,8.920263052925787
Gemma3 270M,"fsdp=1,tp=4",b16/L1024,128/8192,512/32768,256.0,16.0,3.915414743100109,0.9455693817000338,4.140801107646492,3.06,3.13,2.2875816993463998,37.306356469549094,9.009453847145272
Gemma3 270M,"fsdp=2,tp=2",b16/L512,128/8192,128/32768,128.0,32.0,15.360088762900045,4.07437829280002,3.7699220983096753,2.65,2.65,0.0,105.47320995226724,27.977556883617936
Gemma3 270M,"fsdp=2,tp=2",b32/L512,128/8192,128/32768,128.0,32.0,30.72606887959996,8.153592084300021,3.7684088879996707,4.56,4.56,0.0,103.72258293500363,27.52423795233674
Gemma3 270M,"fsdp=2,tp=2",b16/L1024,128/8192,128/32768,256.0,64.0,30.73765835320007,8.164488217700045,3.76479915624876,5.13,5.13,0.0,100.39064745890968,26.665605067479554
Gemma3 270M,"fsdp=2,tp=2",b16/L512,128/32768,512/32768,32.0,8.0,4.07437829280002,1.259174191399984,3.2357542908896626,2.65,2.65,0.0,27.977556883617936,8.646378670466223
Gemma3 270M,"fsdp=2,tp=2",b32/L512,128/32768,512/32768,32.0,8.0,8.153592084300021,2.5222359872000197,3.2326840651224997,4.56,4.56,0.0,27.52423795233674,8.514360635886554
Gemma3 270M,"fsdp=2,tp=2",b16/L1024,128/32768,512/32768,64.0,16.0,8.164488217700045,2.532376875099999,3.2240415310922645,5.13,5.13,0.0,26.665605067479554,8.270862769700607
Gemma3 270M,"fsdp=1,tp=4",b32/L512,128/8192,256/32768,128.0,16.0,3.9187758799000223,1.2230018102998657,3.2042273747241508,2.77,2.77,0.0,38.93945907971417,12.152526810949686
Gemma3 270M,"fsdp=1,tp=4",b16/L512,128/8192,256/32768,128.0,16.0,1.9618444709999039,0.6143417661000058,3.193408912199117,1.64,1.64,0.0,36.98857743091847,11.58278768798405
Gemma3 270M,"fsdp=1,tp=4",b16/L1024,128/8192,256/32768,256.0,32.0,3.915414743100109,1.2285682625000391,3.186973701512157,3.06,3.06,0.0,37.306356469549094,11.705887768025182
Gemma3 270M,"fsdp=2,tp=2",b16/L512,256/32768,512/65536,16.0,4.0,2.191537217300015,0.8191011746000413,2.6755390973161775,2.65,2.65,0.0,15.048641229000962,5.6245267520464175
Gemma3 270M,"fsdp=2,tp=2",b32/L512,256/32768,512/65536,16.0,4.0,4.38892698300001,1.6451459146999696,2.6678040797374694,4.56,4.56,0.0,14.815785409246947,5.5535507730031375
