batch_size,dataset,examples,loss_tokens_retained_ratio,max_length,overlength_examples,overlength_rate,packed_loss_ratio,packed_loss_ratio_rounded,packed_rows,packed_rows_rounded,packed_valid_ratio,packed_valid_ratio_rounded,packed_vs_dynamic_loss_gain_x,packed_vs_fixed_loss_gain_x,packed_vs_fixed_valid_gain_x,packing_seconds,row_reduction_x,unpacked_dynamic_loss_ratio,unpacked_dynamic_valid_ratio,unpacked_fixed_loss_ratio,unpacked_fixed_valid_ratio,dataset_slug,dataset_label
8,oasst1_en,5000,0.6779387188840946,256,1922,0.3844,0.7768695414847162,0.7757403706395349,3435,3440,0.9974049308588064,0.9959552143895349,1.4282703488372095,1.4534883720930232,1.4534883720930232,0.6830554588232189,1.455604075691412,0.5431327278278125,0.6973156133923574,0.533709375,0.6852171875,oasst1,OASST1 EN
16,oasst1_en,5000,0.6779387188840946,256,1922,0.3844,0.7768695414847162,0.7757403706395349,3435,3440,0.9974049308588064,0.9959552143895349,1.4488372093023258,1.4558139534883723,1.455813953488372,0.6958208750002086,1.455604075691412,0.5354227277287319,0.6874169216492777,0.5328568041134185,0.6841225913538339,oasst1,OASST1 EN
32,oasst1_en,5000,0.6779387188840946,256,1922,0.3844,0.7768695414847162,0.7721489800347222,3435,3456,0.9974049308588064,0.9913443106192129,1.4466145833333333,1.4537037037037037,1.4537037037037035,0.6993754580616951,1.455604075691412,0.5337627512751275,0.6852857160716072,0.5311598079219745,0.681943856986465,oasst1,OASST1 EN
8,oasst1_en,5000,0.9238928076658952,512,385,0.077,0.8224078471279964,0.8205522337545126,2211,2216,0.999099848767526,0.9968455621051444,1.8448711078519855,2.256317689530686,2.256317689530686,0.6160019170492887,2.261420171867933,0.44477483021016867,0.5403334454436702,0.36366875,0.441801953125,oasst1,OASST1 EN
16,oasst1_en,5000,0.9238928076658952,512,385,0.077,0.8224078471279964,0.8176006070143885,2211,2224,0.999099848767526,0.9932597867018885,2.0554813961330938,2.251798561151079,2.2517985611510793,0.6312611671164632,2.261420171867933,0.39776599708103044,0.4832248973746364,0.36308780950479236,0.44109619920626997,oasst1,OASST1 EN
32,oasst1_en,5000,0.9238928076658952,512,385,0.077,0.8224078471279964,0.8117606026785714,2211,2240,0.999099848767526,0.9861650739397322,2.1622000558035714,2.242857142857143,2.242857142857143,0.7483287081122398,2.261420171867933,0.37543269897700765,0.4560933532920609,0.36193147890127386,0.4396914342406449,oasst1,OASST1 EN
8,oasst1_en,5000,0.9879168469480512,1024,32,0.0064,0.8302098900512382,0.8266800860969388,1171,1176,0.9989817396989752,0.9947343683567177,2.0507746067176873,4.251700680272109,4.2517006802721085,0.4142312908079475,4.269854824935952,0.4031062620870168,0.48505299660834666,0.19443515625,0.2339615234375,oasst1,OASST1 EN
16,oasst1_en,5000,0.9879168469480512,1024,32,0.0064,0.8302098900512382,0.821094409839527,1171,1184,0.9989817396989752,0.9880131901921453,2.445292704814189,4.229729729729729,4.22972972972973,0.43014741595834494,4.269854824935952,0.33578573568022796,0.4040470035538022,0.19412455695886582,0.23358778298472443,oasst1,OASST1 EN
32,oasst1_en,5000,0.9879168469480512,1024,32,0.0064,0.8302098900512382,0.821094409839527,1171,1184,0.9989817396989752,0.9880131901921453,2.897546716638513,4.243243243243243,4.243243243243243,0.43154625012539327,4.269854824935952,0.28337572786128906,0.3409826611314671,0.1935063258857484,0.23284387284783042,oasst1,OASST1 EN
8,oasst1_en,5000,0.9998640446806737,2048,2,0.0004,0.8324303021890863,0.831024169921875,591,592,0.9996315170262268,0.9979429502744932,2.1028491870777026,8.445945945945946,8.445945945945946,0.307362416991964,8.460236886632826,0.39518961941190683,0.47456705711802344,0.09839326171875,0.1181564453125,oasst1,OASST1 EN
16,oasst1_en,5000,0.9998640446806737,2048,2,0.0004,0.8324303021890863,0.831024169921875,591,592,0.9996315170262268,0.9979429502744932,2.5727077174831083,8.45945945945946,8.459459459459458,0.30177695909515023,8.460236886632826,0.32301538347110403,0.3878959679301563,0.098236083984375,0.11796769699730432,oasst1,OASST1 EN
32,oasst1_en,5000,0.9998640446806737,2048,2,0.0004,0.8324303021890863,0.8091551128186678,591,608,0.9996315170262268,0.9716812936883223,3.067671926398026,8.263157894736842,8.263157894736842,0.3075759580824524,8.460236886632826,0.26376846424016237,0.3167487648619724,0.09792323021372412,0.11759200369476512,oasst1,OASST1 EN
8,oasst1_en,5000,1.0,4096,0,0.0,0.8311371674408784,0.8311371674408784,296,296,0.9980559477934966,0.9980559477934966,2.10375316722973,16.89189189189189,16.89189189189189,0.3282815841957927,16.89189189189189,0.3950735192643055,0.474416848582935,0.0492033203125,0.059084912109375,oasst1,OASST1 EN
16,oasst1_en,5000,1.0,4096,0,0.0,0.8311371674408784,0.80926513671875,296,304,0.9980559477934966,0.9717913175884046,2.5067652652138155,16.473684210526315,16.47368421052632,0.25388895790092647,16.89189189189189,0.3228324358681918,0.38766745776873335,0.049124720759285145,0.0589905272657498,oasst1,OASST1 EN
32,oasst1_en,5000,1.0,4096,0,0.0,0.8311371674408784,0.7688018798828125,296,320,0.9980559477934966,0.9232017517089843,2.917633056640625,15.7,15.7,0.24004983296617866,16.89189189189189,0.26350190889597824,0.31642147377229224,0.048968272604000794,0.0588026593445213,oasst1,OASST1 EN
