batch_size,case,chips,dataset_mode,dropped_overlength,final_cumulative_loss_tokens,final_cumulative_valid_tokens,final_loss,first_step_time_sec,long_example_policy,lora_rank,loss_tokens_per_sec_excl_first,max_length,max_steps,mean_loss,mean_step_time_sec_excl_first,mesh_fsdp,mesh_tp,model,model_id,packed_efficiency,packed_rows,packed_rows_used,prepared_batches,row_reduction_x,run_dir,runtime_hbm_limit_gb,runtime_peak_hbm_gb,second_step_time_sec,source_examples_fit,status,steps_recorded,suite,tpu,valid_tokens_per_sec_excl_first,variant,wall_time_sec,xla_report,xla_train_step_gib_per_chip,model_label,dataset_slug,dataset_label
8,short-throughput_unpacked_b8_l1024_s50,32,alpaca,0,19887,32309,1.8994336128234863,42.85056142100075,truncate,16,1893.4003317477423,1024,50,1.6783719670772552,0.2076708633877221,8,4,Gemma3 1B,google/gemma-3-1b-it,0.082620703125,5000,5000,625,1.0,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/alpaca/short-throughput/short-throughput_unpacked_b8_l1024_s50,67.637280768,2.194139136,0.3404189229995609,5000,ok,50,short-throughput,v5litepod-32,3095.361169325291,unpacked,71.92552166899986,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/alpaca/short-throughput/short-throughput_unpacked_b8_l1024_s50/xla/module_0723.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,4.91,Gemma3 1B,alpaca,Alpaca
8,short-throughput_packed_b8_l1024_s50,32,alpaca,0,265737,408634,1.2689507007598877,42.08616593900024,truncate,16,24172.27034417114,1024,50,1.4860216665267945,0.21813323428577117,8,4,Gemma3 1B,google/gemma-3-1b-it,0.9954301581325301,415,408,51,12.048192771084338,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/alpaca/short-throughput/short-throughput_packed_b8_l1024_s50,67.637280768,2.223294464,0.7728329609999491,5000,ok,50,short-throughput,v5litepod-32,37466.055383509214,packed,78.17704589500045,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/alpaca/short-throughput/short-throughput_packed_b8_l1024_s50/xla/module_0723.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,4.93,Gemma3 1B,alpaca,Alpaca
8,short-throughput_unpacked_b8_l2048_s50,32,alpaca,0,19887,32309,1.88680899143219,44.41788532800001,truncate,16,912.8441680050707,2048,50,1.6596770119667053,0.43074611791841877,8,4,Gemma3 1B,google/gemma-3-1b-it,0.0413103515625,5000,5000,625,1.0,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/alpaca/short-throughput/short-throughput_unpacked_b8_l2048_s50,67.637280768,2.431383552,0.6984690950002914,5000,ok,50,short-throughput,v5litepod-32,1492.332257425843,unpacked,84.44135386800008,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/alpaca/short-throughput/short-throughput_unpacked_b8_l2048_s50/xla/module_0723.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,10.42,Gemma3 1B,alpaca,Alpaca
8,short-throughput_packed_b8_l2048_s50,32,alpaca,0,531994,818446,0.9982975721359253,44.6887822180006,truncate,16,24169.346671377276,2048,50,1.4668885803222655,0.4369609724286346,8,4,Gemma3 1B,google/gemma-3-1b-it,0.9978345788043478,207,200,25,24.154589371980677,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/alpaca/short-throughput/short-throughput_packed_b8_l2048_s50,67.637280768,2.573256704,0.5617998600000647,5000,ok,50,short-throughput,v5litepod-32,37460.21748864049,packed,89.39940269500039,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/alpaca/short-throughput/short-throughput_packed_b8_l2048_s50/xla/module_0723.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,10.51,Gemma3 1B,alpaca,Alpaca
4,short-throughput_unpacked_b4_l512_s50,32,oasst1,385,33552,42145,1.0741578340530396,38.79338811799971,truncate,16,10350.712419857375,512,50,1.9192106425762177,0.06466872228568774,8,4,Gemma3 1B,google/gemma-3-1b-it,0.441801953125,5000,5000,1250,1.0,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/oasst1/short-throughput/short-throughput_unpacked_b4_l512_s50,67.637280768,1.775362048,0.4242516029999024,5000,ok,50,short-throughput,v5litepod-32,13002.532184608177,unpacked,61.14933593600017,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/oasst1/short-throughput/short-throughput_unpacked_b4_l512_s50/xla/module_0723.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,1.36,Gemma3 1B,oasst1,OASST1 EN
4,short-throughput_packed_b4_l512_s50,32,oasst1,385,86319,102400,1.2834272384643555,38.545281316999535,truncate,16,24232.70314940301,512,50,1.38091237783432,0.0710542577143853,8,4,Gemma3 1B,google/gemma-3-1b-it,0.999099848767526,2211,2208,552,2.261420171867933,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/oasst1/short-throughput/short-throughput_packed_b4_l512_s50,67.637280768,1.755265024,0.724206636999952,5000,ok,50,short-throughput,v5litepod-32,28823.044049412,packed,61.376019920000545,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/oasst1/short-throughput/short-throughput_packed_b4_l512_s50/xla/module_0723.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,1.36,Gemma3 1B,oasst1,OASST1 EN
4,short-throughput_unpacked_b4_l1024_s50,32,oasst1,32,34189,42782,1.0692439079284668,41.92540604000078,truncate,16,6235.159275233026,1024,50,1.9331394922733307,0.10943863930617449,8,4,Gemma3 1B,google/gemma-3-1b-it,0.2339615234375,5000,5000,1250,1.0,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/oasst1/short-throughput/short-throughput_unpacked_b4_l1024_s50,67.637280768,2.118209536,0.27382267100074387,5000,ok,50,short-throughput,v5litepod-32,7802.154232458266,unpacked,66.79189135700017,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/oasst1/short-throughput/short-throughput_unpacked_b4_l1024_s50/xla/module_0723.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.58,Gemma3 1B,oasst1,OASST1 EN
4,short-throughput_packed_b4_l1024_s50,32,oasst1,32,174259,204784,1.1814707517623901,41.380428092999864,truncate,16,30921.130231418003,1024,50,1.426743094921112,0.11260379904082843,8,4,Gemma3 1B,google/gemma-3-1b-it,0.9989817396989752,1171,1168,292,4.269854824935952,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/oasst1/short-throughput/short-throughput_packed_b4_l1024_s50,67.637280768,2.121115648,0.3974152820001109,5000,ok,50,short-throughput,v5litepod-32,36372.42707861682,packed,64.71947571800047,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/oasst1/short-throughput/short-throughput_packed_b4_l1024_s50/xla/module_0723.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,2.59,Gemma3 1B,oasst1,OASST1 EN
4,short-throughput_unpacked_b4_l2048_s50,32,oasst1,2,34189,42782,1.0971976518630981,42.420357450000665,truncate,16,3134.5627945024626,2048,50,1.9338260209560394,0.21769139483679895,8,4,Gemma3 1B,google/gemma-3-1b-it,0.1181564453125,5000,5000,1250,1.0,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/oasst1/short-throughput/short-throughput_unpacked_b4_l2048_s50,67.637280768,2.197030912,0.5192943600004583,5000,ok,50,short-throughput,v5litepod-32,3922.328411268948,unpacked,72.04133109899976,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/oasst1/short-throughput/short-throughput_unpacked_b4_l2048_s50/xla/module_0723.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,5.32,Gemma3 1B,oasst1,OASST1 EN
4,short-throughput_packed_b4_l2048_s50,32,oasst1,2,357250,409499,1.8458231687545776,42.08424075599942,truncate,16,32042.30966185303,2048,50,1.3777897405624389,0.22251574379593617,8,4,Gemma3 1B,google/gemma-3-1b-it,0.9996315170262268,591,588,147,8.460236886632826,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/oasst1/short-throughput/short-throughput_packed_b4_l2048_s50,67.637280768,2.249863168,0.6658992640004726,5000,ok,50,short-throughput,v5litepod-32,36806.10924780675,packed,72.5782056550006,/tmp/packing-transfer/gemma3-1b-transfer32-tp4/oasst1/short-throughput/short-throughput_packed_b4_l2048_s50/xla/module_0723.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,5.36,Gemma3 1B,oasst1,OASST1 EN
